h_visit_bins,h_visit_all_mean,h_visit_all_std,h_visit_all_sem,h_visit_all_nEns,h_visit_all_q25,h_visit_all_q50,h_visit_all_q75,h_visit_earth_mean,h_visit_earth_std,h_visit_earth_sem,h_visit_earth_nEns,h_visit_earth_q25,h_visit_earth_q50,h_visit_earth_q75
0,782.26,7.3396942110084575,0.7339694211008457,100,776.0,782.0,787.0,865.12,3.7316013298379693,0.3731601329837969,100,862.75,865.5,868.0
1,7.86,2.8745487129339637,0.28745487129339636,100,6.0,8.0,9.0,1.6,1.392621247645583,0.1392621247645583,100,0.0,1.0,3.0
2,7.17,2.0940270998603365,0.20940270998603366,100,6.0,7.0,8.0,1.06,0.8740940475946536,0.08740940475946536,100,0.0,1.0,2.0
3,76.24,7.960914621835961,0.7960914621835962,100,71.0,76.5,82.0,5.75,2.50403714433353,0.25040371443335296,100,4.0,5.0,7.0
4,3.5,1.6666666666666667,0.16666666666666669,100,2.0,3.5,5.0,3.5,1.6666666666666667,0.16666666666666669,100,2.0,3.5,5.0
5,3.25,1.8606776217607424,0.18606776217607424,100,2.0,3.0,4.0,3.25,1.8606776217607424,0.18606776217607424,100,2.0,3.0,4.0
6,2.11,1.4487542541400495,0.14487542541400494,100,1.0,2.0,3.0,2.11,1.4487542541400495,0.14487542541400494,100,1.0,2.0,3.0
7,1.22,0.9382984815100369,0.09382984815100369,100,1.0,1.0,2.0,1.22,0.9382984815100369,0.09382984815100369,100,1.0,1.0,2.0
8,0.45,0.8087276451565166,0.08087276451565166,100,0.0,0.0,1.0,0.45,0.8087276451565166,0.08087276451565166,100,0.0,0.0,1.0
9,0.37,0.580055727033745,0.058005572703374496,100,0.0,0.0,1.0,0.37,0.580055727033745,0.058005572703374496,100,0.0,0.0,1.0
10,0.22,0.462317395019238,0.0462317395019238,100,0.0,0.0,0.0,0.22,0.462317395019238,0.0462317395019238,100,0.0,0.0,0.0
11,0.16,0.41971611377407997,0.041971611377408,100,0.0,0.0,0.0,0.16,0.41971611377407997,0.041971611377408,100,0.0,0.0,0.0
12,0.19,0.4425591326123392,0.04425591326123392,100,0.0,0.0,0.0,0.19,0.4425591326123392,0.04425591326123392,100,0.0,0.0,0.0
13,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
14,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
15,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
16,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
17,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
18,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
19,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
20,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
21,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
22,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
23,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
24,0.0,0.0,0.0,100,0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.0
